Page number, Time taken
1, 1.6804850101471
2, 2.8773210048676
3, 4.265811920166
4, 6.4720418453217
5, 8.1309058666229
6, 9.8075339794159
7, 11.504294872284
8, 13.245409965515
9, 14.952373027802
10, 16.6349568367
11, 18.373633861542
12, 20.090878009796
13, 21.793618917465
14, 23.540134906769
15, 25.312721014023
16, 27.031759023666
17, 28.761294841766
18, 30.470892906189
19, 32.24084186554
20, 33.956477880478
21, 35.767158985138
22, 37.517275810242
23, 39.251690864563
24, 40.996240854263
25, 42.726667881012
26, 44.965886831284
27, 46.689581871033
28, 48.465610980988
29, 50.299736976624
30, 52.035984039307
31, 53.712626934052
32, 55.522593975067
33, 57.239214897156
34, 58.463605880737
35, 59.731580018997
36, 60.87632894516
37, 62.078955888748
38, 63.375015974045
39, 64.550588846207
40, 66.2856798172
41, 67.48782992363
42, 68.66277885437
43, 69.906834840775
44, 71.15168094635
45, 72.347309827805
46, 73.507678031921
47, 74.748991012573
48, 75.939738988876
49, 77.194458961487
50, 78.659605979919
51, 80.098161935806
52, 81.345602035522
53, 82.495988845825
54, 83.706018924713
55, 84.969058990479
56, 86.190860033035
57, 87.40563583374
58, 88.691720962524
59, 89.969127893448
60, 91.181248903275
61, 92.460847854614
62, 93.689083814621
63, 94.903482913971
64, 96.072233915329
65, 97.251289844513
66, 98.413141012192
67, 99.603967905045
68, 100.77453684807
69, 102.01478481293
70, 103.26288604736
71, 104.50048303604
72, 105.80058383942
73, 107.03201699257
74, 108.23931193352
75, 109.46542692184
76, 110.67610287666
77, 111.85094094276
78, 113.61159491539
79, 115.29180288315
80, 116.99688792229
81, 118.73792791367
82, 120.47084283829
83, 122.18305897713
84, 123.99800801277
85, 125.67156600952
86, 127.44032096863
87, 129.11221504211
88, 130.84195494652
89, 132.56141901016
90, 134.37529492378
91, 136.13193488121
92, 137.9274699688
93, 139.13900184631
94, 140.37230491638
95, 141.53019285202
96, 142.71114897728
97, 143.95242881775
98, 145.15751695633
99, 146.59755992889
100, 147.7827539444
101, 149.24785804749
102, 150.61035704613
103, 151.78080582619
104, 152.96565198898
105, 154.19114398956
106, 155.43172287941
107, 156.64691901207
108, 157.87861704826
109, 159.09527993202
110, 160.26372504234
111, 161.61052799225
112, 162.81919288635
113, 163.98743987083
114, 165.22424983978
115, 166.37590289116
116, 167.59622788429
117, 168.76263403893
118, 169.96600484848
119, 171.14535403252
120, 172.66770386696
121, 174.23287796974
122, 175.90698289871
123, 177.57540392876
124, 179.32321286201
125, 181.03065800667
126, 182.20482993126
127, 183.47690391541
128, 184.91124081612
129, 186.49323797226
130, 187.70438098907
131, 188.91174292564
132, 190.13576602936
133, 191.38136482239
134, 192.59130597115
135, 193.81892681122
136, 195.50792098045
137, 197.23695492744
138, 198.98211503029
139, 200.73320484161
140, 202.43649697304
141, 204.24574494362
142, 205.98711681366
143, 208.05423092842
144, 210.21600699425
145, 212.61491084099
146, 214.29723882675
147, 215.96845698357
148, 217.68935203552
149, 219.73239684105
150, 221.48826384544
151, 223.26044988632
152, 225.06659889221
153, 226.86417984962
154, 228.53499603271
155, 230.22899103165
156, 231.97942996025
157, 233.70886397362
158, 235.40941381454
159, 237.1580529213
160, 238.96380400658
161, 240.57252788544
162, 241.85878992081
163, 243.04854798317
164, 244.22348999977
165, 245.48393702507
166, 246.61508989334
167, 247.79511499405
168, 248.96218895912
169, 250.19657492638
170, 251.43460488319
171, 252.62733888626
172, 253.87730097771
173, 255.05014801025
174, 256.25871396065
175, 257.46405792236
176, 258.66206383705
177, 259.90238690376
178, 261.07904696465
179, 262.21793293953
180, 263.40476083755
181, 264.63008189201
182, 265.86388993263
183, 267.0670030117
184, 268.28661489487
185, 269.46620488167
186, 270.66756296158
187, 271.85010004044
188, 273.58439993858
189, 275.35213303566
190, 277.08610296249
191, 278.76058292389
192, 280.61542081833
193, 281.8390378952
194, 283.00865697861
195, 284.17687797546
196, 285.40763497353
197, 286.60605788231
198, 287.78720283508
199, 289.01608395576
200, 290.22770285606
