Page number, Time taken
12, 2.6747541427612
3, 2.7443821430206
33, 2.9062280654907
64, 3.0142731666565
66, 3.064651966095
37, 3.1069941520691
20, 3.1485049724579
38, 3.192223072052
39, 3.233528137207
10, 3.2771141529083
17, 3.3197989463806
5, 3.3718521595001
62, 3.4133031368256
77, 3.454962015152
87, 3.4953329563141
76, 3.5371651649475
44, 3.6037211418152
83, 3.6896460056305
28, 3.7318079471588
54, 3.7782759666443
22, 3.8183851242065
41, 3.8584849834442
78, 3.8986220359802
26, 3.941535949707
11, 3.98513007164
31, 4.0394270420074
21, 4.0852761268616
7, 4.1331729888916
65, 4.1743171215057
4, 4.2280411720276
53, 4.2893040180206
46, 4.3322141170502
23, 4.3763520717621
29, 4.4209160804749
27, 4.668741941452
18, 4.8623950481415
101, 5.2850050926208
40, 5.3800611495972
57, 5.4273681640625
123, 5.4941740036011
59, 5.5387041568756
95, 5.6005389690399
93, 5.657989025116
70, 5.717924118042
97, 5.9951050281525
132, 6.1286101341248
121, 6.1906199455261
117, 6.266499042511
80, 6.3299641609192
24, 6.3768410682678
58, 6.4832530021667
35, 6.5401899814606
99, 6.6249580383301
114, 6.674024105072
100, 6.7695360183716
96, 6.8473529815674
102, 6.9163861274719
115, 7.0083520412445
43, 7.1000740528107
48, 7.1626451015472
129, 7.2430400848389
50, 7.3281979560852
107, 7.3732950687408
8, 7.4247660636902
16, 7.4959139823914
19, 7.5615141391754
127, 7.6561369895935
86, 7.7123370170593
9, 7.7896220684052
89, 7.8453860282898
79, 7.9009301662445
82, 7.9532110691071
119, 8.0146889686584
120, 8.0712370872498
85, 8.1277041435242
125, 8.1719739437103
71, 8.2160370349884
25, 8.2731020450592
68, 8.3190770149231
75, 8.3645739555359
56, 8.4334809780121
124, 8.5003001689911
15, 8.5543429851532
92, 8.608628988266
63, 8.6543941497803
52, 8.7009840011597
137, 8.7634000778198
73, 8.8312039375305
13, 8.8860890865326
81, 8.9307489395142
135, 9.0134811401367
98, 9.0817110538483
42, 9.1400229930878
105, 9.1903450489044
34, 9.2737741470337
72, 9.3498859405518
47, 9.4017109870911
55, 9.4452991485596
126, 9.4960160255432
144, 9.551943063736
142, 9.5982310771942
136, 9.6484861373901
171, 9.6960401535034
116, 9.7520971298218
91, 9.8473110198975
61, 9.9362201690674
133, 10.007714986801
130, 10.064329147339
163, 10.141679048538
138, 10.234114170074
45, 10.30260515213
128, 10.357471942902
122, 10.41023516655
2, 10.473548173904
51, 10.531690120697
155, 10.58606505394
139, 10.634657144547
109, 10.737127065659
14, 10.795794963837
141, 10.841377019882
94, 10.976572990417
151, 11.045626163483
181, 11.089823961258
174, 11.135409116745
166, 11.186088085175
180, 11.249603033066
162, 11.313421964645
104, 11.358776092529
110, 11.501305103302
106, 11.553894042969
103, 11.610546112061
146, 11.654689073563
154, 11.702005147934
131, 11.759444952011
152, 11.826598167419
6, 11.883453130722
176, 11.973118066788
150, 12.04185295105
197, 12.107351064682
182, 12.154983997345
1, 12.213188171387
195, 12.285273075104
175, 12.33446097374
88, 12.422448158264
194, 12.506633996964
173, 12.583235025406
183, 12.645631074905
187, 12.70818901062
179, 12.781795024872
49, 12.835869073868
191, 12.884052991867
149, 12.95506310463
90, 13.021162033081
32, 13.068432092667
164, 13.134816169739
184, 13.218034982681
192, 13.263690948486
169, 13.308773040771
108, 13.374621152878
84, 13.429316043854
157, 13.475780963898
165, 13.522752046585
36, 13.569275140762
167, 13.620583057404
170, 13.664843082428
198, 13.718135118484
200, 13.765584945679
189, 13.815879106522
147, 13.861171007156
111, 13.905878067017
156, 13.951720952988
199, 13.997810125351
177, 14.042790174484
30, 14.089156150818
186, 14.134832143784
60, 14.180555105209
158, 14.226283073425
143, 14.282072067261
190, 14.327734947205
172, 14.376496076584
185, 14.42554807663
140, 14.47164607048
69, 14.517913103104
74, 14.57004404068
193, 14.626397132874
161, 14.670742034912
160, 14.714887142181
118, 14.75955915451
153, 14.804860115051
168, 14.848829984665
113, 14.893233060837
148, 14.937119960785
134, 14.982449054718
112, 15.027465105057
67, 15.071267127991
196, 15.117126941681
159, 15.163283109665
188, 15.209009170532
178, 15.254380941391
145, 15.473242998123
